"Labor Force Data by County, 2014 Annual Averages",,,,,,,,,
,,,,,,,,,
,State,County,,,,,,,Unemploy-
CN2000700000000,20,007,"Barber County, KS",2014,,"2,720     ","2,636     ",84     ,3.1     
CN2000900000000,20,009,"Barton County, KS",2014,,"15,480     ","14,926     ",554     ,3.6     
CN2001100000000,20,011,"Bourbon County, KS",2014,,"7,105     ","6,729     ",376     ,5.3     
CN2001300000000,20,013,"Brown County, KS",2014,,"5,416     ","5,193     ",223     ,4.1     
CN2001500000000,20,015,"Butler County, KS",2014,,"31,998     ","30,428     ","1,570     ",4.9     
CN2001700000000,20,017,"Chase County, KS",2014,,"1,235     ","1,184     ",51     ,4.1     
CN2001900000000,20,019,"Chautauqua County, KS",2014,,"1,579     ","1,493     ",86     ,5.4     
CN2002100000000,20,021,"Cherokee County, KS",2014,,"10,366     ","9,841     ",525     ,5.1     
CN2002300000000,20,023,"Cheyenne County, KS",2014,,"1,316     ","1,275     ",41     ,3.1     
CN2002500000000,20,025,"Clark County, KS",2014,,"1,145     ","1,115     ",30     ,2.6     
CN2002700000000,20,027,"Clay County, KS",2014,,"4,176     ","3,990     ",186     ,4.5     
CN2002900000000,20,029,"Cloud County, KS",2014,,"4,396     ","4,210     ",186     ,4.2     
CN2003100000000,20,031,"Coffey County, KS",2014,,"4,902     ","4,621     ",281     ,5.7     
CN2003300000000,20,033,"Comanche County, KS",2014,,980     ,950     ,30     ,3.1     
CN2003500000000,20,035,"Cowley County, KS",2014,,"17,288     ","16,482     ",806     ,4.7     
CN2003700000000,20,037,"Crawford County, KS",2014,,"19,165     ","18,133     ","1,032     ",5.4     
CN2003900000000,20,039,"Decatur County, KS",2014,,"1,355     ","1,307     ",48     ,3.5     
CN2004100000000,20,041,"Dickinson County, KS",2014,,"9,736     ","9,240     ",496     ,5.1     
CN2004300000000,20,043,"Doniphan County, KS",2014,,"4,301     ","4,106     ",195     ,4.5     
CN2004500000000,20,045,"Douglas County, KS",2014,,"64,740     ","62,080     ","2,660     ",4.1     
CN2004700000000,20,047,"Edwards County, KS",2014,,"1,607     ","1,554     ",53     ,3.3     
CN2004900000000,20,049,"Elk County, KS",2014,,"1,311     ","1,243     ",68     ,5.2     
CN2005100000000,20,051,"Ellis County, KS",2014,,"17,933     ","17,436     ",497     ,2.8     
CN2005300000000,20,053,"Ellsworth County, KS",2014,,"3,449     ","3,347     ",102     ,3.0     
CN2005500000000,20,055,"Finney County, KS",2014,,"20,228     ","19,530     ",698     ,3.5     
CN2005700000000,20,057,"Ford County, KS",2014,,"18,203     ","17,507     ",696     ,3.8     
CN2005900000000,20,059,"Franklin County, KS",2014,,"14,073     ","13,349     ",724     ,5.1     
CN2006100000000,20,061,"Geary County, KS",2014,,"12,350     ","11,447     ",903     ,7.3     
CN2006300000000,20,063,"Gove County, KS",2014,,"1,485     ","1,446     ",39     ,2.6     
CN2006500000000,20,065,"Graham County, KS",2014,,"1,314     ","1,271     ",43     ,3.3     
CN2006700000000,20,067,"Grant County, KS",2014,,"3,942     ","3,807     ",135     ,3.4     
CN2006900000000,20,069,"Gray County, KS",2014,,"3,500     ","3,405     ",95     ,2.7     
CN2007100000000,20,071,"Greeley County, KS",2014,,898     ,879     ,19     ,2.1     
CN2007300000000,20,073,"Greenwood County, KS",2014,,"3,332     ","3,181     ",151     ,4.5     
CN2007500000000,20,075,"Hamilton County, KS",2014,,"1,664     ","1,625     ",39     ,2.3     
CN2007700000000,20,077,"Harper County, KS",2014,,"2,984     ","2,873     ",111     ,3.7     
CN2007900000000,20,079,"Harvey County, KS",2014,,"17,137     ","16,404     ",733     ,4.3     
CN2008100000000,20,081,"Haskell County, KS",2014,,"2,359     ","2,298     ",61     ,2.6     
CN2008300000000,20,083,"Hodgeman County, KS",2014,,"1,035     ","1,000     ",35     ,3.4     
CN2008500000000,20,085,"Jackson County, KS",2014,,"7,399     ","7,091     ",308     ,4.2     
CN2008700000000,20,087,"Jefferson County, KS",2014,,"10,232     ","9,735     ",497     ,4.9     
CN2008900000000,20,089,"Jewell County, KS",2014,,"1,382     ","1,328     ",54     ,3.9     
CN2009100000000,20,091,"Johnson County, KS",2014,,"321,263     ","309,052     ","12,211     ",3.8     
CN2009300000000,20,093,"Kearny County, KS",2014,,"2,121     ","2,055     ",66     ,3.1     
CN2009500000000,20,095,"Kingman County, KS",2014,,"3,609     ","3,464     ",145     ,4.0     
CN2009700000000,20,097,"Kiowa County, KS",2014,,"1,352     ","1,307     ",45     ,3.3     
CN2009900000000,20,099,"Labette County, KS",2014,,"10,794     ","10,158     ",636     ,5.9     
CN2010100000000,20,101,"Lane County, KS",2014,,864     ,836     ,28     ,3.2     
CN2010300000000,20,103,"Leavenworth County, KS",2014,,"35,050     ","33,291     ","1,759     ",5.0     
CN2010500000000,20,105,"Lincoln County, KS",2014,,"1,775     ","1,701     ",74     ,4.2     
CN2010700000000,20,107,"Linn County, KS",2014,,"4,327     ","4,003     ",324     ,7.5     
CN2010900000000,20,109,"Logan County, KS",2014,,"1,737     ","1,697     ",40     ,2.3     
CN2011100000000,20,111,"Lyon County, KS",2014,,"16,540     ","15,688     ",852     ,5.2     
CN2011300000000,20,113,"McPherson County, KS",2014,,"16,850     ","16,300     ",550     ,3.3     
CN2011500000000,20,115,"Marion County, KS",2014,,"6,149     ","5,897     ",252     ,4.1     
CN2011700000000,20,117,"Marshall County, KS",2014,,"5,886     ","5,694     ",192     ,3.3     
CN2011900000000,20,119,"Meade County, KS",2014,,"2,383     ","2,319     ",64     ,2.7     
CN2012100000000,20,121,"Miami County, KS",2014,,"16,879     ","16,079     ",800     ,4.7     
CN2012300000000,20,123,"Mitchell County, KS",2014,,"3,840     ","3,714     ",126     ,3.3     
CN2012500000000,20,125,"Montgomery County, KS",2014,,"17,365     ","16,360     ","1,005     ",5.8     
CN2012700000000,20,127,"Morris County, KS",2014,,"3,101     ","2,963     ",138     ,4.5     
CN2012900000000,20,129,"Morton County, KS",2014,,"1,490     ","1,431     ",59     ,4.0     
CN2013100000000,20,131,"Nemaha County, KS",2014,,"5,856     ","5,688     ",168     ,2.9     
CN2013300000000,20,133,"Neosho County, KS",2014,,"6,402     ","5,919     ",483     ,7.5     
CN2013500000000,20,135,"Ness County, KS",2014,,"1,615     ","1,571     ",44     ,2.7     
CN2013700000000,20,137,"Norton County, KS",2014,,"3,043     ","2,970     ",73     ,2.4     
CN2013900000000,20,139,"Osage County, KS",2014,,"8,151     ","7,705     ",446     ,5.5     
CN2014100000000,20,141,"Osborne County, KS",2014,,"2,060     ","1,983     ",77     ,3.7     
CN2014300000000,20,143,"Ottawa County, KS",2014,,"3,246     ","3,112     ",134     ,4.1     
CN2014500000000,20,145,"Pawnee County, KS",2014,,"3,394     ","3,265     ",129     ,3.8     
CN2014700000000,20,147,"Phillips County, KS",2014,,"2,912     ","2,809     ",103     ,3.5     
CN2014900000000,20,149,"Pottawatomie County, KS",2014,,"12,047     ","11,574     ",473     ,3.9     
CN2015100000000,20,151,"Pratt County, KS",2014,,"5,508     ","5,328     ",180     ,3.3     
CN2015300000000,20,153,"Rawlins County, KS",2014,,"1,518     ","1,480     ",38     ,2.5     
CN2015500000000,20,155,"Reno County, KS",2014,,"31,234     ","29,850     ","1,384     ",4.4     
CN2015700000000,20,157,"Republic County, KS",2014,,"2,571     ","2,492     ",79     ,3.1     
CN2015900000000,20,159,"Rice County, KS",2014,,"5,455     ","5,262     ",193     ,3.5     
CN2016100000000,20,161,"Riley County, KS",2014,,"36,629     ","35,268     ","1,361     ",3.7     
CN2016300000000,20,163,"Rooks County, KS",2014,,"2,854     ","2,750     ",104     ,3.6     
CN2016500000000,20,165,"Rush County, KS",2014,,"1,811     ","1,746     ",65     ,3.6     
CN2016700000000,20,167,"Russell County, KS",2014,,"3,842     ","3,706     ",136     ,3.5     
CN2016900000000,20,169,"Saline County, KS",2014,,"30,730     ","29,427     ","1,303     ",4.2     
CN2017100000000,20,171,"Scott County, KS",2014,,"2,856     ","2,777     ",79     ,2.8     
CN2017300000000,20,173,"Sedgwick County, KS",2014,,"247,363     ","233,996     ","13,367     ",5.4     
CN2017500000000,20,175,"Seward County, KS",2014,,"11,171     ","10,778     ",393     ,3.5     
CN2017700000000,20,177,"Shawnee County, KS",2014,,"92,003     ","87,585     ","4,418     ",4.8     
CN2017900000000,20,179,"Sheridan County, KS",2014,,"1,461     ","1,422     ",39     ,2.7     
CN2018100000000,20,181,"Sherman County, KS",2014,,"3,094     ","2,995     ",99     ,3.2     
CN2018300000000,20,183,"Smith County, KS",2014,,"2,120     ","2,053     ",67     ,3.2     
CN2018500000000,20,185,"Stafford County, KS",2014,,"2,166     ","2,084     ",82     ,3.8     
CN2018700000000,20,187,"Stanton County, KS",2014,,"1,027     ",993     ,34     ,3.3     
CN2018900000000,20,189,"Stevens County, KS",2014,,"3,370     ","3,268     ",102     ,3.0     
CN2019100000000,20,191,"Sumner County, KS",2014,,"11,083     ","10,551     ",532     ,4.8     
CN2019300000000,20,193,"Thomas County, KS",2014,,"4,385     ","4,257     ",128     ,2.9     
CN2019500000000,20,195,"Trego County, KS",2014,,"1,490     ","1,444     ",46     ,3.1     
CN2019700000000,20,197,"Wabaunsee County, KS",2014,,"3,765     ","3,609     ",156     ,4.1     
CN2019900000000,20,199,"Wallace County, KS",2014,,877     ,854     ,23     ,2.6     
CN2020100000000,20,201,"Washington County, KS",2014,,"3,108     ","3,008     ",100     ,3.2     
CN2020300000000,20,203,"Wichita County, KS",2014,,"1,236     ","1,201     ",35     ,2.8     
CN2020500000000,20,205,"Wilson County, KS",2014,,"4,173     ","3,886     ",287     ,6.9     
CN2020700000000,20,207,"Woodson County, KS",2014,,"1,629     ","1,543     ",86     ,5.3     
CN2020900000000,20,209,"Wyandotte County, KS",2014,,"75,692     ","70,468     ","5,224     ",6.9     
CN2100100000000,21,001,"Adair County, KY",2014,,"7,222     ","6,597     ",625     ,8.7     
CN2100300000000,21,003,"Allen County, KY",2014,,"8,666     ","8,153     ",513     ,5.9     
CN2100500000000,21,005,"Anderson County, KY",2014,,"11,426     ","10,830     ",596     ,5.2     
CN2100700000000,21,007,"Ballard County, KY",2014,,"3,676     ","3,381     ",295     ,8.0     
CN2100900000000,21,009,"Barren County, KY",2014,,"18,716     ","17,539     ","1,177     ",6.3     
CN2101100000000,21,011,"Bath County, KY",2014,,"4,720     ","4,300     ",420     ,8.9     
CN2101300000000,21,013,"Bell County, KY",2014,,"9,309     ","8,368     ",941     ,10.1     
CN2101500000000,21,015,"Boone County, KY",2014,,"65,241     ","61,857     ","3,384     ",5.2     
CN2101700000000,21,017,"Bourbon County, KY",2014,,"9,645     ","9,101     ",544     ,5.6     
CN2101900000000,21,019,"Boyd County, KY",2014,,"19,066     ","17,633     ","1,433     ",7.5     
CN2102100000000,21,021,"Boyle County, KY",2014,,"12,291     ","11,437     ",854     ,6.9     
CN2102300000000,21,023,"Bracken County, KY",2014,,"3,798     ","3,498     ",300     ,7.9     
CN2102500000000,21,025,"Breathitt County, KY",2014,,"4,179     ","3,701     ",478     ,11.4     
CN2102700000000,21,027,"Breckinridge County, KY",2014,,"8,083     ","7,500     ",583     ,7.2     
CN2102900000000,21,029,"Bullitt County, KY",2014,,"39,209     ","36,931     ","2,278     ",5.8     
CN2103100000000,21,031,"Butler County, KY",2014,,"5,189     ","4,800     ",389     ,7.5     
CN2103300000000,21,033,"Caldwell County, KY",2014,,"5,449     ","5,094     ",355     ,6.5     
CN2103500000000,21,035,"Calloway County, KY",2014,,"18,709     ","17,629     ","1,080     ",5.8     
CN2103700000000,21,037,"Campbell County, KY",2014,,"47,876     ","45,389     ","2,487     ",5.2     
CN2103900000000,21,039,"Carlisle County, KY",2014,,"2,382     ","2,239     ",143     ,6.0     
CN2104100000000,21,041,"Carroll County, KY",2014,,"4,868     ","4,520     ",348     ,7.1     
CN2104300000000,21,043,"Carter County, KY",2014,,"10,482     ","9,356     ","1,126     ",10.7     
CN2104500000000,21,045,"Casey County, KY",2014,,"6,618     ","6,167     ",451     ,6.8     
CN2104700000000,21,047,"Christian County, KY",2014,,"25,422     ","23,485     ","1,937     ",7.6     
CN2104900000000,21,049,"Clark County, KY",2014,,"16,974     ","15,934     ","1,040     ",6.1     
CN2105100000000,21,051,"Clay County, KY",2014,,"5,553     ","4,931     ",622     ,11.2     
CN2105300000000,21,053,"Clinton County, KY",2014,,"4,003     ","3,642     ",361     ,9.0     
CN2105500000000,21,055,"Crittenden County, KY",2014,,"3,870     ","3,631     ",239     ,6.2     
CN2105700000000,21,057,"Cumberland County, KY",2014,,"2,950     ","2,726     ",224     ,7.6     
CN2105900000000,21,059,"Daviess County, KY",2014,,"45,928     ","43,321     ","2,607     ",5.7     
CN2106100000000,21,061,"Edmonson County, KY",2014,,"4,781     ","4,381     ",400     ,8.4     
CN2106300000000,21,063,"Elliott County, KY",2014,,"2,154     ","1,910     ",244     ,11.3     
CN2106500000000,21,065,"Estill County, KY",2014,,"5,407     ","4,999     ",408     ,7.5     
CN2106700000000,21,067,"Fayette County, KY",2014,,"166,977     ","158,967     ","8,010     ",4.8     
CN2106900000000,21,069,"Fleming County, KY",2014,,"6,368     ","5,876     ",492     ,7.7     
CN2107100000000,21,071,"Floyd County, KY",2014,,"12,402     ","11,126     ","1,276     ",10.3     
CN2107300000000,21,073,"Franklin County, KY",2014,,"24,357     ","23,064     ","1,293     ",5.3     
CN2107500000000,21,075,"Fulton County, KY",2014,,"2,228     ","2,042     ",186     ,8.3     
CN2107700000000,21,077,"Gallatin County, KY",2014,,"3,862     ","3,592     ",270     ,7.0     
CN2107900000000,21,079,"Garrard County, KY",2014,,"7,589     ","7,092     ",497     ,6.5     
CN2108100000000,21,081,"Grant County, KY",2014,,"11,202     ","10,469     ",733     ,6.5     
CN2108300000000,21,083,"Graves County, KY",2014,,"15,859     ","14,672     ","1,187     ",7.5     
CN2108500000000,21,085,"Grayson County, KY",2014,,"10,862     ","9,949     ",913     ,8.4     
CN2108700000000,21,087,"Green County, KY",2014,,"5,081     ","4,748     ",333     ,6.6     
CN2108900000000,21,089,"Greenup County, KY",2014,,"14,288     ","13,069     ","1,219     ",8.5     
CN2109100000000,21,091,"Hancock County, KY",2014,,"3,981     ","3,740     ",241     ,6.1     
CN2109300000000,21,093,"Hardin County, KY",2014,,"46,604     ","43,706     ","2,898     ",6.2     
CN2109500000000,21,095,"Harlan County, KY",2014,,"8,401     ","7,227     ","1,174     ",14.0     
CN2109700000000,21,097,"Harrison County, KY",2014,,"8,421     ","7,917     ",504     ,6.0     
CN2109900000000,21,099,"Hart County, KY",2014,,"7,817     ","7,323     ",494     ,6.3     
CN2110100000000,21,101,"Henderson County, KY",2014,,"21,647     ","20,329     ","1,318     ",6.1     
CN2110300000000,21,103,"Henry County, KY",2014,,"7,641     ","7,200     ",441     ,5.8     
CN2110500000000,21,105,"Hickman County, KY",2014,,"2,129     ","1,996     ",133     ,6.2     
CN2110700000000,21,107,"Hopkins County, KY",2014,,"20,415     ","19,096     ","1,319     ",6.5     
CN2110900000000,21,109,"Jackson County, KY",2014,,"4,582     ","4,056     ",526     ,11.5     
CN2111100000000,21,111,"Jefferson County, KY",2014,,"377,404     ","354,598     ","22,806     ",6.0     
CN2111300000000,21,113,"Jessamine County, KY",2014,,"24,907     ","23,599     ","1,308     ",5.3     
CN2111500000000,21,115,"Johnson County, KY",2014,,"8,052     ","7,309     ",743     ,9.2     
CN2111700000000,21,117,"Kenton County, KY",2014,,"83,118     ","78,501     ","4,617     ",5.6     
CN2111900000000,21,119,"Knott County, KY",2014,,"5,134     ","4,562     ",572     ,11.1     
CN2112100000000,21,121,"Knox County, KY",2014,,"10,119     ","9,112     ","1,007     ",10.0     
CN2112300000000,21,123,"Larue County, KY",2014,,"5,764     ","5,385     ",379     ,6.6     
CN2112500000000,21,125,"Laurel County, KY",2014,,"24,125     ","22,284     ","1,841     ",7.6     
CN2112700000000,21,127,"Lawrence County, KY",2014,,"5,275     ","4,769     ",506     ,9.6     
CN2112900000000,21,129,"Lee County, KY",2014,,"2,313     ","2,088     ",225     ,9.7     
CN2113100000000,21,131,"Leslie County, KY",2014,,"3,175     ","2,766     ",409     ,12.9     
CN2113300000000,21,133,"Letcher County, KY",2014,,"7,246     ","6,350     ",896     ,12.4     
CN2113500000000,21,135,"Lewis County, KY",2014,,"5,171     ","4,672     ",499     ,9.6     
CN2113700000000,21,137,"Lincoln County, KY",2014,,"9,329     ","8,503     ",826     ,8.9     
CN2113900000000,21,139,"Livingston County, KY",2014,,"3,760     ","3,450     ",310     ,8.2     
CN2114100000000,21,141,"Logan County, KY",2014,,"11,919     ","11,244     ",675     ,5.7     
CN2114300000000,21,143,"Lyon County, KY",2014,,"2,979     ","2,772     ",207     ,6.9     
CN2114500000000,21,145,"McCracken County, KY",2014,,"29,477     ","27,409     ","2,068     ",7.0     
CN2114700000000,21,147,"McCreary County, KY",2014,,"5,045     ","4,512     ",533     ,10.6     
CN2114900000000,21,149,"McLean County, KY",2014,,"4,315     ","4,040     ",275     ,6.4     
CN2115100000000,21,151,"Madison County, KY",2014,,"45,302     ","42,844     ","2,458     ",5.4     
CN2115300000000,21,153,"Magoffin County, KY",2014,,"3,725     ","3,204     ",521     ,14.0     
CN2115500000000,21,155,"Marion County, KY",2014,,"9,190     ","8,602     ",588     ,6.4     
CN2115700000000,21,157,"Marshall County, KY",2014,,"14,958     ","13,949     ","1,009     ",6.7     
CN2115900000000,21,159,"Martin County, KY",2014,,"3,436     ","3,123     ",313     ,9.1     
CN2116100000000,21,161,"Mason County, KY",2014,,"7,739     ","7,128     ",611     ,7.9     
CN2116300000000,21,163,"Meade County, KY",2014,,"12,121     ","11,264     ",857     ,7.1     
CN2116500000000,21,165,"Menifee County, KY",2014,,"2,357     ","2,125     ",232     ,9.8     
CN2116700000000,21,167,"Mercer County, KY",2014,,"9,897     ","9,285     ",612     ,6.2     
CN2116900000000,21,169,"Metcalfe County, KY",2014,,"4,130     ","3,879     ",251     ,6.1     
CN2117100000000,21,171,"Monroe County, KY",2014,,"4,601     ","4,346     ",255     ,5.5     
CN2117300000000,21,173,"Montgomery County, KY",2014,,"11,754     ","10,876     ",878     ,7.5     
CN2117500000000,21,175,"Morgan County, KY",2014,,"4,794     ","4,342     ",452     ,9.4     
CN2117700000000,21,177,"Muhlenberg County, KY",2014,,"12,364     ","11,419     ",945     ,7.6     
CN2117900000000,21,179,"Nelson County, KY",2014,,"21,303     ","19,999     ","1,304     ",6.1     
CN2118100000000,21,181,"Nicholas County, KY",2014,,"3,452     ","3,184     ",268     ,7.8     
CN2118300000000,21,183,"Ohio County, KY",2014,,"9,515     ","8,786     ",729     ,7.7     
CN2118500000000,21,185,"Oldham County, KY",2014,,"30,264     ","28,827     ","1,437     ",4.7     
CN2118700000000,21,187,"Owen County, KY",2014,,"5,523     ","5,246     ",277     ,5.0     
CN2118900000000,21,189,"Owsley County, KY",2014,,"1,178     ","1,055     ",123     ,10.4     
CN2119100000000,21,191,"Pendleton County, KY",2014,,"6,761     ","6,309     ",452     ,6.7     
CN2119300000000,21,193,"Perry County, KY",2014,,"9,537     ","8,552     ",985     ,10.3     
CN2119500000000,21,195,"Pike County, KY",2014,,"21,996     ","19,680     ","2,316     ",10.5     
CN2119700000000,21,197,"Powell County, KY",2014,,"4,971     ","4,549     ",422     ,8.5     
CN2119900000000,21,199,"Pulaski County, KY",2014,,"26,277     ","24,344     ","1,933     ",7.4     
CN2120100000000,21,201,"Robertson County, KY",2014,,809     ,746     ,63     ,7.8     
CN2120300000000,21,203,"Rockcastle County, KY",2014,,"6,886     ","6,365     ",521     ,7.6     
CN2120500000000,21,205,"Rowan County, KY",2014,,"10,552     ","9,816     ",736     ,7.0     
CN2120700000000,21,207,"Russell County, KY",2014,,"6,583     ","5,909     ",674     ,10.2     
CN2120900000000,21,209,"Scott County, KY",2014,,"26,484     ","25,189     ","1,295     ",4.9     
CN2121100000000,21,211,"Shelby County, KY",2014,,"22,496     ","21,381     ","1,115     ",5.0     
CN2121300000000,21,213,"Simpson County, KY",2014,,"8,489     ","7,987     ",502     ,5.9     
CN2121500000000,21,215,"Spencer County, KY",2014,,"9,157     ","8,672     ",485     ,5.3     
CN2121700000000,21,217,"Taylor County, KY",2014,,"11,275     ","10,404     ",871     ,7.7     
CN2121900000000,21,219,"Todd County, KY",2014,,"5,460     ","5,163     ",297     ,5.4     
CN2122100000000,21,221,"Trigg County, KY",2014,,"5,716     ","5,311     ",405     ,7.1     
CN2122300000000,21,223,"Trimble County, KY",2014,,"3,875     ","3,593     ",282     ,7.3     
CN2122500000000,21,225,"Union County, KY",2014,,"6,757     ","6,323     ",434     ,6.4     
CN2122700000000,21,227,"Warren County, KY",2014,,"59,363     ","56,057     ","3,306     ",5.6     
CN2122900000000,21,229,"Washington County, KY",2014,,"6,124     ","5,790     ",334     ,5.5     
CN2123100000000,21,231,"Wayne County, KY",2014,,"7,257     ","6,553     ",704     ,9.7     
CN2123300000000,21,233,"Webster County, KY",2014,,"6,288     ","5,945     ",343     ,5.5     
CN2123500000000,21,235,"Whitley County, KY",2014,,"13,403     ","12,231     ","1,172     ",8.7     
CN2123700000000,21,237,"Wolfe County, KY",2014,,"2,056     ","1,824     ",232     ,11.3     
CN2123900000000,21,239,"Woodford County, KY",2014,,"14,236     ","13,599     ",637     ,4.5     
CN2200100000000,22,001,"Acadia Parish, LA",2014,,"26,747     ","25,201     ","1,546     ",5.8     
CN2200300000000,22,003,"Allen Parish, LA",2014,,"8,930     ","8,284     ",646     ,7.2     
CN2200500000000,22,005,"Ascension Parish, LA",2014,,"59,882     ","56,676     ","3,206     ",5.4     
CN2200700000000,22,007,"Assumption Parish, LA",2014,,"10,097     ","9,317     ",780     ,7.7     
CN2200900000000,22,009,"Avoyelles Parish, LA",2014,,"16,183     ","15,008     ","1,175     ",7.3     
CN2201100000000,22,011,"Beauregard Parish, LA",2014,,"14,968     ","13,956     ","1,012     ",6.8     
CN2201300000000,22,013,"Bienville Parish, LA",2014,,"5,954     ","5,481     ",473     ,7.9     
CN2201500000000,22,015,"Bossier Parish, LA",2014,,"58,353     ","54,992     ","3,361     ",5.8     
CN2201700000000,22,017,"Caddo Parish, LA",2014,,"111,489     ","103,164     ","8,325     ",7.5     
CN2201900000000,22,019,"Calcasieu Parish, LA",2014,,"94,867     ","89,241     ","5,626     ",5.9     
CN2202100000000,22,021,"Caldwell Parish, LA",2014,,"4,085     ","3,766     ",319     ,7.8     
CN2202300000000,22,023,"Cameron Parish, LA",2014,,"3,455     ","3,283     ",172     ,5.0     
CN2202500000000,22,025,"Catahoula Parish, LA",2014,,"3,857     ","3,545     ",312     ,8.1     
CN2202700000000,22,027,"Claiborne Parish, LA",2014,,"6,374     ","5,896     ",478     ,7.5     
CN2202900000000,22,029,"Concordia Parish, LA",2014,,"7,785     ","7,111     ",674     ,8.7     
CN2203100000000,22,031,"De Soto Parish, LA",2014,,"11,166     ","10,253     ",913     ,8.2     
CN2203300000000,22,033,"East Baton Rouge Parish, LA",2014,,"232,863     ","219,417     ","13,446     ",5.8     
CN2203500000000,22,035,"East Carroll Parish, LA",2014,,"2,231     ","1,904     ",327     ,14.7     
CN2203700000000,22,037,"East Feliciana Parish, LA",2014,,"8,219     ","7,686     ",533     ,6.5     
CN2203900000000,22,039,"Evangeline Parish, LA",2014,,"13,174     ","12,281     ",893     ,6.8     
CN2204100000000,22,041,"Franklin Parish, LA",2014,,"7,622     ","6,900     ",722     ,9.5     
CN2204300000000,22,043,"Grant Parish, LA",2014,,"8,441     ","7,837     ",604     ,7.2     
CN2204500000000,22,045,"Iberia Parish, LA",2014,,"32,683     ","30,608     ","2,075     ",6.3     
CN2204700000000,22,047,"Iberville Parish, LA",2014,,"14,423     ","13,288     ","1,135     ",7.9     
CN2204900000000,22,049,"Jackson Parish, LA",2014,,"7,184     ","6,755     ",429     ,6.0     
CN2205100000000,22,051,"Jefferson Parish, LA",2014,,"218,848     ","205,682     ","13,166     ",6.0     
CN2205300000000,22,053,"Jefferson Davis Parish, LA",2014,,"13,618     ","12,815     ",803     ,5.9     
CN2205500000000,22,055,"Lafayette Parish, LA",2014,,"122,858     ","116,791     ","6,067     ",4.9     
CN2205700000000,22,057,"Lafourche Parish, LA",2014,,"48,651     ","46,307     ","2,344     ",4.8     
CN2205900000000,22,059,"LaSalle Parish, LA",2014,,"6,654     ","6,306     ",348     ,5.2     
CN2206100000000,22,061,"Lincoln Parish, LA",2014,,"19,752     ","18,179     ","1,573     ",8.0     
CN2206300000000,22,063,"Livingston Parish, LA",2014,,"66,813     ","63,120     ","3,693     ",5.5     
CN2206500000000,22,065,"Madison Parish, LA",2014,,"3,937     ","3,501     ",436     ,11.1     
CN2206700000000,22,067,"Morehouse Parish, LA",2014,,"11,205     ","9,942     ","1,263     ",11.3     
CN2206900000000,22,069,"Natchitoches Parish, LA",2014,,"16,343     ","15,020     ","1,323     ",8.1     
CN2207100000000,22,071,"Orleans Parish, LA",2014,,"179,709     ","167,179     ","12,530     ",7.0     
CN2207300000000,22,073,"Ouachita Parish, LA",2014,,"72,248     ","67,177     ","5,071     ",7.0     
CN2207500000000,22,075,"Plaquemines Parish, LA",2014,,"10,273     ","9,686     ",587     ,5.7     
CN2207700000000,22,077,"Pointe Coupee Parish, LA",2014,,"10,141     ","9,424     ",717     ,7.1     
CN2207900000000,22,079,"Rapides Parish, LA",2014,,"58,240     ","54,334     ","3,906     ",6.7     
CN2208100000000,22,081,"Red River Parish, LA",2014,,"4,004     ","3,714     ",290     ,7.2     
CN2208300000000,22,083,"Richland Parish, LA",2014,,"8,754     ","7,990     ",764     ,8.7     
CN2208500000000,22,085,"Sabine Parish, LA",2014,,"9,229     ","8,621     ",608     ,6.6     
CN2208700000000,22,087,"St. Bernard Parish, LA",2014,,"19,293     ","17,951     ","1,342     ",7.0     
CN2208900000000,22,089,"St. Charles Parish, LA",2014,,"25,572     ","24,011     ","1,561     ",6.1     
CN2209100000000,22,091,"St. Helena Parish, LA",2014,,"4,551     ","4,093     ",458     ,10.1     
CN2209300000000,22,093,"St. James Parish, LA",2014,,"9,805     ","8,958     ",847     ,8.6     
CN2209500000000,22,095,"St. John the Baptist Parish, LA",2014,,"20,446     ","18,815     ","1,631     ",8.0     
CN2209700000000,22,097,"St. Landry Parish, LA",2014,,"34,274     ","31,644     ","2,630     ",7.7     
CN2209900000000,22,099,"St. Martin Parish, LA",2014,,"24,759     ","23,330     ","1,429     ",5.8     
CN2210100000000,22,101,"St. Mary Parish, LA",2014,,"25,421     ","23,819     ","1,602     ",6.3     
CN2210300000000,22,103,"St. Tammany Parish, LA",2014,,"115,389     ","108,826     ","6,563     ",5.7     
CN2210500000000,22,105,"Tangipahoa Parish, LA",2014,,"53,947     ","49,821     ","4,126     ",7.6     
CN2210700000000,22,107,"Tensas Parish, LA",2014,,"1,792     ","1,622     ",170     ,9.5     
CN2210900000000,22,109,"Terrebonne Parish, LA",2014,,"54,862     ","52,191     ","2,671     ",4.9     
CN2211100000000,22,111,"Union Parish, LA",2014,,"9,406     ","8,697     ",709     ,7.5     
CN2211300000000,22,113,"Vermilion Parish, LA",2014,,"26,616     ","25,124     ","1,492     ",5.6     
CN2211500000000,22,115,"Vernon Parish, LA",2014,,"17,511     ","16,013     ","1,498     ",8.6     
CN2211700000000,22,117,"Washington Parish, LA",2014,,"17,027     ","15,680     ","1,347     ",7.9     
CN2211900000000,22,119,"Webster Parish, LA",2014,,"15,732     ","14,357     ","1,375     ",8.7     
CN2212100000000,22,121,"West Baton Rouge Parish, LA",2014,,"12,928     ","12,174     ",754     ,5.8     
CN2212300000000,22,123,"West Carroll Parish, LA",2014,,"4,259     ","3,702     ",557     ,13.1     
